Ranked This Week,Ranked Last Week,Player Name,Events,Average Points,Total Points,Points Lost,Points Gained,
1,1,Brooks Koepka,41,9.88,405.16,-24.36,1.91,
2,2,Rory McIlroy,49,9.09,445.21,-22.31,0,
3,3,Jon Rahm,48,8.02,384.89,-18.29,6.72,
4,4,Justin Thomas,47,7.7,361.77,-18.9,48,
5,5,Dustin Johnson,41,6.8,278.7,-19.92,7.84,
6,7,Tiger Woods,40,6.26,250.25,-12.87,0,
7,6,Patrick Cantlay,45,6.19,278.59,-14.06,16.31,
8,9,Justin Rose,47,6.05,284.52,-18.82,15.6,
9,8,Xander Schauffele,50,5.97,298.73,-14.92,24,
10,10,Tommy Fleetwood,52,5.76,299.52,-15.19,21.67,
11,11,Webb Simpson,46,5.19,238.7,-13.58,18.4,
12,12,Patrick Reed,52,4.83,251.15,-14.67,24,
13,13,Adam Scott,44,4.64,204.08,-9.71,0,
14,18,Louis Oosthuizen,48,4.58,219.99,-8.35,31.2,
15,14,Gary Woodland,52,4.49,233.73,-12.67,7.84,
16,15,Tony Finau,52,4.49,233.73,-14.95,8.6,
17,16,Bryson DeChambeau,52,4.36,226.84,-18.07,0,
18,17,Paul Casey,51,4.36,222.35,-13.18,5.46,
19,19,Shane Lowry,52,4.33,224.97,-9.9,12,
20,24,Matt Kuchar,52,4.23,219.88,-11.26,30.56,
21,20,Francesco Molinari,45,4.15,186.93,-14.8,0,
22,23,Bernd Wiesberger,40,4.11,164.3,-5.43,7.25,
23,21,Hideki Matsuyama,52,4.04,210.05,-8.41,4.22,
24,25,Matthew Fitzpatrick,52,3.96,206.06,-9.04,21.67,
25,22,Rickie Fowler,44,3.93,172.75,-11.07,15.56,
26,26,Henrik Stenson,45,3.35,150.64,-6.93,1.5,
27,27,Kevin Na,48,3.31,159.1,-9.27,5.14,
28,28,Marc Leishman,49,3.2,156.97,-9.72,2.11,
29,63,Lee Westwood,42,3.12,130.95,-4.19,50,
30,39,Abraham Ancer,52,3.11,161.71,-6.69,25.57,
31,29,Danny Willett,52,3.07,159.62,-6.81,0,
32,30,Kevin Kisner,52,3.03,157.48,-8.8,15.91,
33,31,Cameron Smith,52,2.97,154.55,-7.49,46,
34,35,Sungjae Im,52,2.96,153.94,-6.73,7.6,
35,34,Tyrrell Hatton,51,2.95,150.23,-7.53,0,
36,33,Shugo Imahira,52,2.92,152.03,-5.45,0,
37,32,Matt Wallace,52,2.9,151.06,-9.18,0,
38,38,Jazz Janewattananond,52,2.84,147.55,-5.32,16.4,
39,36,Billy Horschel,52,2.78,144.5,-8.06,0,
40,37,Chez Reavie,52,2.77,144.22,-8.67,2.35,
41,45,Victor Perez,50,2.72,136.1,-3.93,21.67,
42,41,Sergio Garcia,50,2.7,135.05,-8.24,7.25,
43,42,Rafa Cabrera Bello,52,2.62,136.04,-8.51,5.15,
44,40,Jason Day,41,2.55,104.6,-10.48,0,
45,43,Jordan Spieth,47,2.37,111.44,-7.55,0,
46,48,Erik van Rooyen,52,2.36,122.52,-4.8,6.91,
47,44,Byeong Hun An,52,2.33,121.08,-7.22,0,
48,47,Brandt Snedeker,52,2.29,119.12,-6.99,4.22,
49,51,Andrew Putnam,51,2.29,116.72,-6.9,5,
50,46,Ian Poulter,52,2.28,118.48,-8.48,0,
51,66,Scottie Scheffler,40,2.28,91.03,-2.49,16,
52,49,Adam Hadwin,48,2.27,108.73,-6.76,0,
53,50,Keegan Bradley,52,2.21,114.7,-7.81,4.22,
54,60,Shaun Norris,52,2.2,114.45,-4.12,10.71,
55,53,Collin Morikawa,40,2.14,85.56,-2.48,10.44,
56,52,Bubba Watson,44,2.14,93.99,-10.94,0,
57,58,Brendon Todd,40,2.11,84.38,-0.47,6.22,
58,54,Joaquin Niemann,49,2.1,102.81,-4.48,10.56,
59,56,Corey Conners,52,2.08,108.38,-4.39,7.46,
60,57,Charles Howell III,52,2.07,107.46,-6.1,4.22,
61,55,Eddie Pepperell,46,2.06,94.96,-6.62,0,
62,59,Tom Lewis,52,2.02,105.16,-5.08,0,
63,62,Chan Kim,40,1.96,78.35,-1.77,0,
64,61,Jim Furyk,40,1.95,78.06,-4.3,0,
65,64,Jason Kokrak,50,1.91,95.67,-5.38,0,
66,74,Paul Waring,45,1.91,85.75,-3.23,5.15,
67,65,Robert MacIntyre,52,1.88,98.01,-3.29,0,
68,68,Michael Lorenzo-Vera,45,1.88,84.72,-3.68,1.91,
69,67,J.T. Poston,52,1.88,97.68,-3.88,7.42,
70,73,Branden Grace,52,1.87,97.34,-5.06,35.88,
71,69,Haotong Li,52,1.85,96.16,-6.93,1.7,
72,71,Ryan Palmer,44,1.85,81.19,-4.34,15.31,
73,75,Cameron Champ,52,1.83,94.93,-4.32,6.78,
74,70,C.T. Pan,52,1.81,94.32,-5.47,0,
75,76,Kurt Kitayama,49,1.81,88.59,-3.16,1.91,
76,72,Lucas Glover,48,1.8,86.31,-4.32,0,
77,77,Andrea Pavan,52,1.76,91.32,-5.01,0,
78,82,Alex Noren,52,1.74,90.36,-8.52,5.66,
79,80,Matthias Schwab,52,1.74,90.28,-2.86,1.46,
80,83,Ryo Ishikawa,46,1.73,79.38,-2.95,1.35,
81,78,Justin Harding,52,1.72,89.57,-6.13,1.2,
82,79,Phil Mickelson,47,1.72,80.67,-8.79,0,
83,81,Marcus Kinhult,47,1.71,80.27,-3.1,0,
84,85,Thomas Pieters,52,1.69,87.92,-4.6,2.18,
85,84,Rory Sabbatini,52,1.66,86.1,-4.43,2.6,
86,86,Lucas Bjerregaard,52,1.64,85.13,-6,0,
87,88,Joost Luiten,40,1.63,65.29,-3.61,1.46,
88,87,Sung Kang,52,1.63,84.63,-4.01,2.55,
89,89,Nate Lashley,45,1.59,71.51,-3.02,3.24,
90,90,Christiaan Bezuidenhout,52,1.56,81.18,-3.07,0,
91,105,Ryan Moore,46,1.55,71.5,-4.49,6.9,
